iteration;avg_executed;avg_worst;avg_average;avg_best
0;-3908.465025977471;-3908.465025977471;-3908.465025977471;-3908.465025977471
1;-3908.212754094013;-3923.7048526791027;-3908.3905995396076;-3893.0763464001266
2;-3897.1766429171657;-3939.8682459922597;-3908.72549623254;-3877.986441471999
3;-3883.5780351256676;-3954.6129381883725;-3908.2139342025207;-3863.1421424664945
4;-3872.7691319866876;-3968.5949331414013;-3908.2832511564766;-3848.729355138264
5;-3862.2324856657065;-3983.077292885298;-3909.302848695065;-3837.022937605989
6;-3848.083965944537;-3996.7949893386967;-3908.6335445832374;-3822.0743808838106
7;-3837.485426486182;-4008.6471072273357;-3908.342042127948;-3810.301639499256
8;-3832.8034564218997;-4022.9049664526897;-3909.8765771992817;-3800.078020914906
9;-3821.2335217600466;-4034.6277713554155;-3909.777596091398;-3788.9533409725454
10;-3815.77000863116;-4044.132314095213;-3910.176514736553;-3780.2916976313336
