iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;17:46:56;17:46:56;17:46:56;;;17:46:56;17:46:56;17:46:57;17:46:57;17:46:57;17:46:57;17:46:57;17:47:13;17:47:13;17:47:13;17:47:13;17:47:13;17:47:13;;;17:47:14;17:47:14;;00:00:00;;00:00:01;00:00:01;00:00:00;00:00:16;00:00:00;00:00:00;;00:00:01;00:00:18
1;17:47:14;17:47:14;17:47:14;17:47:14;17:47:22;17:47:22;17:47:22;17:47:23;17:47:23;17:47:23;17:47:23;17:47:23;17:47:36;17:47:36;17:47:36;17:47:36;17:47:36;17:47:36;;;17:47:36;17:47:36;;00:00:00;00:00:07;00:00:01;00:00:01;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:22
2;17:47:36;17:47:36;17:47:36;17:47:36;17:47:45;17:47:45;;;17:47:45;17:47:45;17:47:45;17:47:45;17:47:58;17:47:58;17:47:58;17:47:58;17:47:58;17:47:58;;;17:47:58;17:47:58;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:21
3;17:47:58;17:47:58;17:47:58;17:47:58;17:48:06;17:48:06;;;17:48:06;17:48:06;17:48:06;17:48:06;17:48:18;17:48:18;17:48:18;17:48:18;17:48:18;17:48:18;;;17:48:18;17:48:18;;00:00:00;00:00:07;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:20
4;17:48:18;17:48:18;17:48:18;17:48:18;17:48:27;17:48:27;;;17:48:27;17:48:27;17:48:27;17:48:27;17:48:39;17:48:39;17:48:39;17:48:39;17:48:39;17:48:39;;;17:48:39;17:48:39;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;;00:00:00;00:00:20
5;17:48:39;17:48:39;17:48:39;17:48:39;17:48:48;17:48:48;;;17:48:48;17:48:48;17:48:48;17:48:48;17:49:01;17:49:01;17:49:01;17:49:01;17:49:01;17:49:01;;;17:49:01;17:49:01;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:21
6;17:49:01;17:49:01;17:49:01;17:49:01;17:49:09;17:49:09;;;17:49:09;17:49:09;17:49:10;17:49:10;17:49:22;17:49:22;17:49:22;17:49:22;17:49:22;17:49:22;;;17:49:22;17:49:22;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:21
7;17:49:22;17:49:22;17:49:22;17:49:22;17:49:30;17:49:30;;;17:49:30;17:49:30;17:49:30;17:49:30;17:49:43;17:49:43;17:49:43;17:49:43;17:49:43;17:49:43;;;17:49:43;17:49:43;;00:00:00;00:00:07;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:20
8;17:49:43;17:49:43;17:49:43;17:49:43;17:49:52;17:49:52;;;17:49:52;17:49:52;17:49:52;17:49:52;17:50:05;17:50:05;17:50:05;17:50:05;17:50:05;17:50:05;;;17:50:05;17:50:05;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:21
9;17:50:05;17:50:05;17:50:05;17:50:05;17:50:14;17:50:14;;;17:50:14;17:50:14;17:50:14;17:50:14;17:50:27;17:50:27;17:50:27;17:50:27;17:50:27;17:50:27;;;17:50:27;17:50:27;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:21
10;17:50:27;17:50:27;17:50:27;17:50:27;17:50:35;17:50:35;;;17:50:35;17:50:35;17:50:35;17:50:35;17:50:50;17:50:50;17:50:50;17:50:50;17:50:50;17:50:50;17:50:50;17:50:50;17:50:51;17:50:51;;00:00:00;00:00:07;;00:00:00;00:00:00;00:00:15;00:00:00;00:00:00;00:00:00;00:00:00;00:00:23
